City,type ,room_number,Area,Street ,number_in_street,city_area,price,num_of_images,floor_out_of,hasElevator ,hasParking,hasBars,hasStorage,hasAirCondition,hasBalcony,hasMamad,handicapFriendly,condition,entranceDate,furniture,publishedDays,description
דימונה,דירה,5,134,תל לכיש ,22, ממשית ,1300000.0,18.0,קומה 2 מתוך 6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,שמור,מיידי,לא צויין,11 days 02:00:29.116344,בית יפיפה וגדול חדרים מרווחים קבלן עומר הנדסה מתווכים נא לא להתקשר
דימונה,דירה,4,85,הרב אלנקוה ,123, נאות הללי ,660000.0,0.0,קומה 1 מתוך 4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,משופץ,לא צויין,"כולל ריהוט: סלון, מיטות, ארונות בגדים",11 days 02:00:29.387275,"למכירה במיקום מצוין דירת 3.5 חדרים קומה 1 עם מרפסת שמש נוף מדהים להרים ולשכונה החדשה. בית מתוחזק מטבח חדש, חשמל ואינסטלציה חדשה. מושכרת ב2400 ש""ח לחודש לטווח ארוך, מצוינת להשקעה. לא לתיווך"
דימונה,פנטהאוז,5,152,תל לכיש ,, ממשית ,1700000.0,0.0,לכל המודעות בנתניה ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:29.666258,
דימונה,דירה,2,53,הרצל ,, יוספטל ,530000.0,0.0,קומה 2 מתוך 3,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,משופץ,מיידי,לא צויין,11 days 02:00:29.997476,דירה 2.5 בדימונה אזור  מרכז עיר  אחרי שיפוץ דירה יפה מאוד .למאגר הנכסים הגדול במדינה או למכירת נכס ללא דמי תיווך/ייעוץ במשכנתא בקרו באתרנו AC נכסים ונשמח לעזור!    
דימונה,דירה,3,62,"מ""ג המעפילים ",217, יוספטל ,630000.0,0.0,קומה 3 מתוך 3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,משופץ,לא צויין,"יש ספה, שידה מקררמיטה זוגית ללא מזרןועוד כמה רהיטים",11 days 02:00:30.338032,דירה 3 וחצי חדרים במצב מצויין מול המרכז המסחרי אזור מרכזי ליד כל מה שצריך בתי ספר גנים
דימונה,דירה,3.5,74,חטיבת גולני ,3, נווה דוד ,745000.0,9.0,קומה 5 מתוך 5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,משופץ,גמיש,חלקי,11 days 02:00:30.676842,"דירת 3 וחצי חדרים בפרויקט הכי נחשק בנווה דוד.
הדירה משופצת חצי חדר עבר הרחבה לחדר שלם 
כך שהדירה משמשת כ 4 חדרים.
בכל קומה יש ממ""ד ענק משותף וכמו כן מעלית בבניין.
ברגע המכירה בעל הדירה מתחיל לשלם שכירות עד אוגוסט 2024
כך שהעסקה מצוינת גם למשקיעים"
דימונה,דירה,3,80,הרב שלום שבזי ,, חכמי ישראל (תשלוז) ,620000.0,0.0,קומה 2 מתוך 2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,שמור,מיידי,לא צויין,11 days 02:00:30.984203,"דירה יפה 3 חדרים בדימונה בשכונה תשלוז ,אזור מבוקש ,מצב מצוין
 למאגר הנכסים הגדול במדינה או למכירת נכס ללא דמי תיווך/ייעוץ במשכנתא בקרו באתרנו AC נכסים ונשמח לעזור! "
דימונה,דירה,3,64,שדרות הנשיא ,, פרחי ארצנו ,560000.0,7.0,קומה 2 מתוך 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,משופץ,לא צויין,לא צויין,11 days 02:00:31.243841,"חדש בבלעדיות למכירה בדימונה בשד' הנשיא במיקום מרכזי קומה ב' 3 חד' 64 מ""ר מושכרת - מעולה למשקיעים"
דימונה,דירה,4,120,תל לכיש ,2, ממשית ,1070000.0,0.0,קומה 7 מתוך 8,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,שמור,לא צויין,לא צויין,11 days 02:00:31.578701,"דירה מקסימה ושמורה. בעלת חנייה מקורה הממוקמת בכניסה לבניין ומרפסת סוכה (מתאימה לשומרי מסורת). מטבח משודרג ומרווח, ממ""ד ענק, מקלחות משודרגות, חדר כביסה עם אחסון עד התקרה ובעיקר המון מזל וברכה :)"
דימונה,דירה,3,67,שדרות גולדה מאיר ,105, נווה דוד ,700000.0,9.0,קומה 1 מתוך 3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,משופץ,גמיש,לא צויין,11 days 02:00:31.886146,"דירת 3 חדרים, משופצת, צנרת חדשה, עם מיזוג בכל החדרים, נמצאת באזור מרכזי בעיר , מול הקניון החדש! מתאימה למגורים ולהשקעה!"
דימונה,דירה,4,75,המעפיל ,, שכונה לדוגמא ,560000.0,8.0,קומה 2 מתוך 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,משופץ,גמיש,לא צויין,11 days 02:00:32.189299,"חדש בבלעדיות למכירה בדימונה בשכונה לדוגמה בבניין משופץ קומה 2/3 , 4 חדרים 75 מ""ר מושכרת "
דימונה,דירה,4,98,תל לכיש ,, ממשית ,1025000.0,5.0,קומה 4 מתוך 8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,משופץ,לא צויין,לא צויין,11 days 02:00:32.493004,"*משופצת מהיסוד*98 מ""ר*13 מ""ר מרפסת*קומה 4*ממ""ד*מזגן מרכזי**פינוי גמיש*קרוב למרכזי קניות ולמוסדות חינוך*אזור מבוקש עם שכנים מעולים"
דימונה,דירה,3,104,רבי נחמן מאומן ,22, מלכי ישראל ,6000000.0,5.0,קומה 7 מתוך 8,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,משופץ,גמיש,לא צויין,11 days 02:00:32.775366,דירה יפהפיה חדשה מקבלן 3 חדרים מסירה מיידית כרגע מושכרת ב 3000 שח משופצת מצויינת להשקעה ... ולמגורים
